COUNTRY,COUNTRY_CODE
Benin,229
Bermuda,1
Bhutan,975
Bolivia,591
Bosnia and Herzegovina,387
Botswana,267
Brazil,55
British Virgin Islands,1
Brunei,673
Bulgaria,359
Burkina Faso,226
Burundi,257
Tunisia,216
Turkey,90
Turkmenistan,993
Turks and Caicos,1
Tuvalu,688
Uganda,256
Ukraine,380
United Arab Emirates,971
United Kingdom,44
United States,1
US Virgin Islands,1
Uruguay,598
Uzbekistan,998
Vanuatu,678
Venezuela,58
Vietnam,84
Wallis and Futuna,681
Yemen,967
Zambia,260
Zimbabwe,263
 
 
